gene_symbol,chromosome,gene_name,gene_count
GSTM1,1,"Glutathione S-transferase M1",164
MTHFR,1,"Chromosome 1 open reading frame 167",82
EPHX1,1,"Epoxide hydrolase 1, microsomal (xenobiotic)",57
IL10,1,"Interleukin 10",42
PTGS2,1,"Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)",38
MTR,1,"5-methyltetrahydrofolate-homocysteine methyltransferase",31
GSTM3,1,"Glutathione S-transferase M3 (brain)",29
MUTYH,1,"MutY homolog (E. coli)",22
TP73,1,"Tumor protein p73",15
RNASEL,1,"Ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)",13
MYCL1,1,"v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)",13
FASLG,1,"Fas ligand (TNF superfamily, member 6)",12
PARP1,1,"poly (ADP-ribose) polymerase family, member 1",11
SDHB,1,"Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",8
NRAS,1,"Neuroblastoma RAS viral (v-ras) oncogene homolog",8
FCGR3A,1,"Fc fragment of IgG, low affinity IIIa, receptor (CD16a)",7
LEPR,1,"Leptin receptor",6
SDHC,1,"Succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa",5
HSD3B2,1,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2",5
FMO3,1,"Flavin containing monooxygenase 3",4
HSD3B1,1,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",4
DPYD,1,"SEC63-like (S. cerevisiae)",3
FMO2,1,"Flavin containing monooxygenase 2",3
MUC1,1,"Mucin 1, transmembrane",3
EXO1,1,"Exonuclease 1",3
RAD54L,1,"RAD54-like (S. cerevisiae)",3
CASP9,1,"Caspase 9, apoptosis-related cysteine peptidase",3
FCGR2A,1,"Fc fragment of IgG, low affinity IIa, receptor (CD32)",3
MYCL1,1,"homolog 1, lung carcinoma derived (avian)",2
GSTM4,1,"Glutathione S-transferase M4",2
EPHB2,1,"EPH receptor B2",2
TNFRSF1B,1,"Tumor necrosis factor receptor superfamily, member 1B",2
F5,1,"Coagulation factor V (proaccelerin, labile factor)",2
SMYD3,1,"SET and MYND domain containing 3",2
PIGR,1,"Polymeric immunoglobulin receptor",2
SAI1,1,"suppression of anchorage independence 1",2
CRP,1,"C-reactive protein, pentraxin-related",2
PLA2G2A,1,"Phospholipase A2, group IIA (platelets, synovial fluid)",2
RGS2,1,"Regulator of G-protein signalling 2, 24kDa",2
TLR5,1,"Toll-like receptor 5",2
AKR1A1,1,"Aldo-keto reductase family 1, member A1 (aldehyde reductase)",2
CDKN2C,1,"Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",2
SELE,1,"Selectin E (endothelial adhesion molecule 1)",2
BCL10,1,"B-cell CLL/lymphoma 10",2
CR2,1,"Complement component (3d/Epstein Barr virus) receptor 2",1
PRDM2,1,"PR domain containing 2, with ZNF domain",1
FH,1,"Fumarate hydratase",1
ID3,1,"Inhibitor of DNA binding 3, dominant negative helix-loop-helix protein",1
CSF3R,1,"Colony stimulating factor 3 receptor (granulocyte)",1
ARHGEF11,1,"Rho guanine nucleotide exchange factor (GEF) 11",1
BGLAP,1,"Bone gamma-carboxyglutamate (gla) protein (osteocalcin)",1
IL24,1,"Interleukin 24",1
CLCA2,1,"Chloride channel, calcium activated, family member 2",1
TRIT1,1,"TRNA isopentenyltransferase 1",1
S100A1,1,"S100 calcium binding protein A1",1
MPL,1,"Myeloproliferative leukemia virus oncogene",1
TP53BP2,1,"Tumor protein p53 binding protein, 2",1
GJA4,1,"Gap junction protein, alpha 4, 37kDa (connexin 37)",1
SHC1,1,"SHC (Src homology 2 domain containing) transforming protein 1",1
GSTM2,1,"Glutathione S-transferase M2 (muscle)",1
CSF1,1,"Colony stimulating factor 1 (macrophage)",1
TGFBR3,1,"Transforming growth factor, beta receptor III (betaglycan, 300kDa)",1
CTH,1,"Cystathionase (cystathionine gamma-lyase)",1
C1QA,1,"Complement component 1, q subcomponent, alpha polypeptide",1
MFSD2,1,"Major facilitator superfamily domain containing 2",1
HLX1,1,"H2.0-like homeobox 1 (Drosophila)",1
MAD2L2,1,"MAD2 mitotic arrest deficient-like 2 (yeast)",1
AGT,1,"Angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",1
SFN,1,Stratifin,1
TGFB2,1,"Transforming growth factor, beta 2",1
F13B,1,"Coagulation factor XIII, B polypeptide",1
